RuleID,Code,Category,Parameters,Description,CleanedDescription,Cluster,BaseRuleID,VersionGroup
DQRCY0092,"(<data>.fillna('~').apply(lambda x: re.findall('['+x[cde]+']$',(x[<#>Column1<#>])),axis=1).astype(bool))",Other,['Column1'],Checks if the ending characters of <#>Column1<#> match any characters in <cde>. Null values in <#>Column1<#> are replaced with ~ before the match.,Checks if the ending characters of  match any characters in <cde>. Null values in  are replaced with ~ before the match.,0,DQRCY0092,31
DQRCY0093,"<data>.apply(lambda x: all(word.upper() in x[<#>Column1<#>].upper() for word in x[cde].split(' ')),axis=1)",Other,['Column1'],"Verifies that every word in <cde> exists in <#>Column1<#>, ignoring case sensitivity. Ensures all words are found in the target column.","Verifies that every word in <cde> exists in , ignoring case sensitivity. Ensures all words are found in the target column.",0,DQRCY0093,32
DQRCY0094,"ExecutionRules.sameValue(self,<#>ColumnID<#>,cde)",Other,['ColumnID'],"Ensures that the values in <cde> and <#>ColumnID<#> are the same, leveraging the ExecutionRules.sameValue function for comparison.","Ensures that the values in <cde> and  are the same, leveraging the ExecutionRules.sameValue function for comparison.",0,DQRCY0094,33
DQRCY0095,(<data>.groupby(cde)[<#>Column<#>].transform(lambda x: x.nunique()) == 1),Other,['Column'],"Validates that all values within a group, defined by <cde>, are unique in <#>Column<#>. This ensures consistency within each group.","Validates that all values within a group, defined by <cde>, are unique in . This ensures consistency within each group.",0,DQRCY0095,34
DQRCY0096,(<data>.assign(combined_ID = lambda x: x[<#>Column1<#>].astype(str) + '-' + x[<#>Column2<#>].astype(str)). groupby(cde)['combined_ID'].transform('nunique').eq(1)),Other,"['Column1', 'Column2']","Ensures that for each group defined by <cde>, the combination of values in <#>Column1<#> and <#>Column2<#> is unique. A unique identifier is created by concatenating these two columns.","Ensures that for each group defined by <cde>, the combination of values in  and  is unique. A unique identifier is created by concatenating these two columns.",0,DQRCY0096,35
DQRCY0097,(<data>.assign(combined_ID = lambda x: x[<#>Column1<#>].astype(str) + '-' + x[<#>Column2<#>].astype(str)). groupby('combined_ID')[cde].transform('nunique').eq(1)),Other,"['Column1', 'Column2']","Validates that for each unique combination of <#>Column1<#> and <#>Column2<#>, the values in <cde> are unique. A combined identifier is created for grouping.","Validates that for each unique combination of  and , the values in <cde> are unique. A combined identifier is created for grouping.",0,DQRCY0097,36
DQRCY0098,(<data>.assign(combined_ID = lambda x: x[<#>Column1<#>].astype(str) + '-' + x[<#>Column2<#>].astype(str) + '-' + x[<#>Column3<#>].astype(str)). groupby(cde)['combined_ID'].transform('nunique').eq(1)),Other,"['Column1', 'Column2', 'Column3']","Similar to DQRCY0096 but includes <#>Column3<#> in the unique identifier. Ensures the combination of <#>Column1<#>, <#>Column2<#>, and <#>Column3<#> is unique for each <cde>.","Similar to DQRCY0096 but includes  in the unique identifier. Ensures the combination of , , and  is unique for each <cde>.",0,DQRCY0098,37
DQRCY0099,(<data>.assign(combined_ID = lambda x: x[<#>Column1<#>].astype(str) + '-' + x[<#>Column2<#>].astype(str) + '-' + x[<#>Column2<#>].astype(str)). groupby('combined_ID')[cde].transform('nunique').eq(1)),Other,"['Column1', 'Column2', 'Column2']","Similar to DQRCY0097 but includes <#>Column3<#> in the unique identifier. Validates that for each unique combination of <#>Column1<#>, <#>Column2<#>, and <#>Column3<#>, the values in <cde> are unique.","Similar to DQRCY0097 but includes  in the unique identifier. Validates that for each unique combination of , , and , the values in <cde> are unique.",0,DQRCY0099,38
DQRCY0100,"<data>.apply(lambda x: False if x[<#>Column1<#>] not in <#>List<#> and float(x[cde]) % 1 != 0 else True, axis = 1)",Validity,"['Column1', 'List']","Checks that if <#>Column1<#> is not in a specified list (<#>List<#>), the value in <cde> must be a whole number. Ensures compliance with specific numeric constraints based on the column condition.","Checks that if  is not in a specified list (), the value in <cde> must be a whole number. Ensures compliance with specific numeric constraints based on the column condition.",0,DQRCY0100,39
DQRF0005,"<data>.apply(lambda x: (len(str(x[cde]).strip()) <#>Operator<#> int(<#>length<#>)),axis=1)",Completeness,"['Operator', 'length']",Validates that the length of the value in <cde> satisfies the specified condition (<#>Operator<#>) relative to a threshold (<#>length<#>). Ensures compliance with length constraints.,Validates that the length of the value in <cde> satisfies the specified condition () relative to a threshold (). Ensures compliance with length constraints.,0,DQRF0005,40
DQRF0005_01,"<data>.apply(lambda x: (len(str(x[cde]).strip()) <#>Operator1<#> int(<#>length1<#>)) if (x[<#>Column1<#>]==<#>pais<#>) else (len(str(x[cde]).strip())<#>Operator2<#> int(<#>length2<#>)),axis=1)",Completeness,"['Operator1', 'length1', 'Column1', 'pais', 'Operator2', 'length2']","Checks the length of <cde> based on the value in <#>Column1<#>. If <#>Column1<#> equals <#>pais<#>, one operator and threshold (<#>Operator1<#> and <#>length1<#>) are applied; otherwise, a different operator and threshold (<#>Operator2<#> and <#>length2<#>) are used.","Checks the length of <cde> based on the value in . If  equals , one operator and threshold ( and ) are applied; otherwise, a different operator and threshold ( and ) are used.",0,DQRF0005,40
DQRF0005_02,"<data>.apply(lambda x: ((len(str(x[cde]).strip()) <#>Operator<#> int(<#>length<#>)) or (x[cde] == <#>ConditionalStr<#> )),axis=1)",Completeness,"['Operator', 'length', 'ConditionalStr']","Ensures the length of <cde> satisfies the specified condition (<#>Operator<#> and <#>length<#>), or that <cde> equals a specific string (<#>ConditionalStr<#>).","Ensures the length of <cde> satisfies the specified condition ( and ), or that <cde> equals a specific string ().",0,DQRF0005,40
DQRF0005_03,((<data>[cde].str.len() <#>Operator<#> <#>length<#>) & (<data>[<#>Column1<#>].isin(<#>lista<#>))),Validity,"['Operator', 'length', 'Column1', 'lista']",Validates that the length of <cde> satisfies the specified condition (<#>Operator<#> and <#>length<#>) only if <#>Column1<#> is in a specified list (<#>lista<#>).,Validates that the length of <cde> satisfies the specified condition ( and ) only if  is in a specified list ().,0,DQRF0005,40
DQRF0006,"<data>.apply(lambda x:(len(str(x[cde]).strip()) <#>Operator1<#> <#>length_min<#>) & (len(str(x[cde]).strip()) <#>Operator2<#> <#>length_max<#>),axis=1)",Completeness,"['Operator1', 'length_min', 'Operator2', 'length_max']","Ensures that the length of the value in <cde> falls between <#>length_min<#> and <#>length_max<#>, satisfying conditions <#>Operator1<#> and <#>Operator2<#> for the lower and upper bounds, respectively.","Ensures that the length of the value in <cde> falls between  and , satisfying conditions  and  for the lower and upper bounds, respectively.",0,DQRF0006,41
DQRF0006_02,"<data>.apply(lambda x: (not pd.isnull(x[cde])) & ((len(str(x[cde]).strip()) <#>Operator1<#> <#>length_min<#>) & (len(str(x[cde]).strip()) <#>Operator2<#> <#>length_max<#>)),axis=1)",Completeness,"['Operator1', 'length_min', 'Operator2', 'length_max']",Similar to DQRF0006 but includes an additional check that <cde> is not null. This ensures non-null values within the specified length range.,Similar to DQRF0006 but includes an additional check that <cde> is not null. This ensures non-null values within the specified length range.,0,DQRF0006,41
DQRF0006_03,<data>.apply(lambda x:((len(str(x[cde]).strip()) >= 1 ) & (len(str(x[cde]).strip()) <= 1 )),Completeness,[],"Validates that the length of <cde> is exactly 1 character, ensuring it meets both lower (>= 1) and upper (<= 1) bounds.","Validates that the length of <cde> is exactly 1 character, ensuring it meets both lower (>= 1) and upper (<= 1) bounds.",0,DQRF0006,41
DQRF0010,^[A-Z0-9]+$,Other,[],"Checks if the value in <cde> contains only uppercase alphanumeric characters (A-Z, 0-9) with no special characters or spaces.","Checks if the value in <cde> contains only uppercase alphanumeric characters (A-Z, 0-9) with no special characters or spaces.",0,DQRF0010,42
DQRF0015,^[A-Z0-9Ã‘]+$,Other,[],"Similar to DQRF0010 but allows the inclusion of the Spanish letter ""Ñ"". Ensures uppercase alphanumeric values.","Similar to DQRF0010 but allows the inclusion of the Spanish letter ""Ñ"". Ensures uppercase alphanumeric values.",0,DQRF0015,43
DQRF0026,^[A-Z0-9Ã‘]+[A-Z0-9Ã‘ ]*$,Other,[],"Validates that <cde> starts with uppercase alphanumeric characters (A-Z, 0-9, Ñ) and may optionally end with spaces or uppercase alphanumeric characters.","Validates that <cde> starts with uppercase alphanumeric characters (A-Z, 0-9, Ñ) and may optionally end with spaces or uppercase alphanumeric characters.",0,DQRF0026,44
DQRF0028,^[A-ZÃ‘]+[A-ZÃ‘ ]*$,Other,[],"Ensures <cde> contains only uppercase alphabetic characters (A-Z, Ñ) and optional spaces.","Ensures <cde> contains only uppercase alphabetic characters (A-Z, Ñ) and optional spaces.",0,DQRF0028,45
DQRF0029,,Other,[],Checks if the value in <cde> is NaN (not a number). This rule ensures proper identification of missing values.,Checks if the value in <cde> is NaN (not a number). This rule ensures proper identification of missing values.,0,DQRF0029,46
DQRF0030,"[A]{3,}",Other,[],"Validates that the value in <cde> contains at least three consecutive ""A"" characters.","Validates that the value in <cde> contains at least three consecutive ""A"" characters.",0,DQRF0030,47
DQRF0031,.ING..,Other,[],"Ensures that <cde> contains the substring ""ING"" surrounded by any two characters on either side (e.g., ""xINGx"").","Ensures that <cde> contains the substring ""ING"" surrounded by any two characters on either side (e.g., ""xINGx"").",0,DQRF0031,48
DQRF0033,[A-HJ-NP-XZa-hj-np-xzÃ±Ã‘]{1},Other,[],"Validates that <cde> contains exactly one character from the range A-H, J-N, P-X, Z, and their lowercase counterparts, including ""Ñ"" and ""ñ"".","Validates that <cde> contains exactly one character from the range A-H, J-N, P-X, Z, and their lowercase counterparts, including ""Ñ"" and ""ñ"".",0,DQRF0033,49
DQRF0034,"[A]{3,}",Other,[],"Similar to DQRF0030 but explicitly checks for at least three consecutive ""A"" characters in <cde>.","Similar to DQRF0030 but explicitly checks for at least three consecutive ""A"" characters in <cde>.",0,DQRF0034,50
DQRF0037,"<data>.fillna('').apply(lambda x: re.search(<#>pattern<#>,str(x[cde])),axis=1).astype(bool)",Other,['pattern'],Applies a regex pattern (<#>pattern<#>) to validate the value in <cde>. Null values are replaced with an empty string before applying the regex.,Applies a regex pattern () to validate the value in <cde>. Null values are replaced with an empty string before applying the regex.,0,DQRF0037,51
DQRF0037_01,"<data>.fillna('').apply(lambda x: re.search(<#>pattern<#>,str(x[cde])),axis=1).astype(bool)",Other,['pattern'],"Similar to DQRF0037, validates <cde> against the provided regex pattern (<#>pattern<#>), replacing nulls with an empty string.","Similar to DQRF0037, validates <cde> against the provided regex pattern (), replacing nulls with an empty string.",0,DQRF0037,51
